COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Colombia,OCT2014,October 2014,2014,10,October,Electricity supplied,5856.118,17,68225.299,,0.9897926311288244
Colombia,OCT2014,October 2014,2014,10,October,Distribution losses,509.17,19,5850.0,,0.0860591801585732
Colombia,OCT2014,October 2014,2014,10,October,Final consumption,5346.948,20,62375.299,,0.903733450970251
Colombia,OCT2014,October 2014,2014,10,October,Electricity trade,60.392,21,802.0,,0.0102073688711757
Colombia,OCT2014,October 2014,2014,10,October,Renewables,4187.838,22,48591.614,,0.7078223479720307
Colombia,OCT2014,October 2014,2014,10,October,Non-renewables,1728.673,23,20435.682,,0.2921778210465291
Colombia,OCT2014,October 2014,2014,10,October,Others,206.83,24,1918.191,,0.0349581087499218
Colombia,OCT2014,October 2014,2014,10,October,Other renewables aggregated,110.778,25,1264.093,,0.0187235380317112
Colombia,OCT2014,October 2014,2014,10,October,Low carbon,4187.838,26,48591.614,,0.7078223479720307
Colombia,OCT2014,October 2014,2014,10,October,Fossil fuels,1728.673,27,20435.682,,0.2921778210465291
Colombia,NOV2014,November 2014,2014,11,November,Hydro,4197.121,1,47249.092,,0.7192544714763073
Colombia,NOV2014,November 2014,2014,11,November,Wind,3.711,2,69.482,,0.0006359486285119
Colombia,NOV2014,November 2014,2014,11,November,Solar,0.648,3,8.947,,0.000111046809829
Colombia,NOV2014,November 2014,2014,11,November,Total combustible fuels,1633.897,7,21699.775,,0.2799985330853516
Colombia,NOV2014,November 2014,2014,11,November,Coal,362.355,8,5152.09,,0.0620962450241004
Colombia,NOV2014,November 2014,2014,11,November,Oil,169.834,9,1918.191,,0.0291042035501733
Colombia,NOV2014,November 2014,2014,11,November,Natural gas,996.312,10,13365.401,,0.170736526534618
Colombia,NOV2014,November 2014,2014,11,November,Combustible renewables,105.396,11,1264.093,,0.0180615579764597
Colombia,NOV2014,November 2014,2014,11,November,Net electricity production,5835.377,14,69027.299,,1.0
Colombia,NOV2014,November 2014,2014,11,November,Total imports,0.001,15,47.0,,1.7136853368685518e-07
Colombia,NOV2014,November 2014,2014,11,November,Total exports,138.414,16,849.0,,0.0237198042217323
Colombia,NOV2014,November 2014,2014,11,November,Electricity supplied,5696.964,17,68225.299,,0.9762803671468012
Colombia,NOV2014,November 2014,2014,11,November,Distribution losses,315.601,19,5850.0,,0.0540840806001051
Colombia,NOV2014,November 2014,2014,11,November,Final consumption,5381.362,20,62375.299,,0.9221961151781624
Colombia,NOV2014,November 2014,2014,11,November,Electricity trade,138.413,21,802.0,,0.0237196328531986
Colombia,NOV2014,November 2014,2014,11,November,Renewables,4306.876,22,48591.614,,0.7380630248911081
Colombia,NOV2014,November 2014,2014,11,November,Non-renewables,1528.501,23,20435.682,,0.2619369751088918
Colombia,NOV2014,November 2014,2014,11,November,Others,169.834,24,1918.191,,0.0291042035501733
Colombia,NOV2014,November 2014,2014,11,November,Other renewables aggregated,105.396,25,1264.093,,0.0180615579764597
Colombia,NOV2014,November 2014,2014,11,November,Low carbon,4306.876,26,48591.614,,0.7380630248911081
Colombia,NOV2014,November 2014,2014,11,November,Fossil fuels,1528.501,27,20435.682,,0.2619369751088918
Colombia,DEC2014,December 2014,2014,12,December,Hydro,4180.456,1,47249.092,,0.7028532730223227
Colombia,DEC2014,December 2014,2014,12,December,Wind,5.174,2,69.482,,0.0008698962109916
Colombia,DEC2014,December 2014,2014,12,December,Solar,0.878,3,8.947,,0.0001476167130364
Colombia,DEC2014,December 2014,2014,12,December,Total combustible fuels,1761.327,7,21699.775,,0.2961290459252743
Colombia,DEC2014,December 2014,2014,12,December,Coal,399.853,8,5152.09,,0.0672266350316316
Colombia,DEC2014,December 2014,2014,12,December,Oil,160.654,9,1918.191,,0.0270104959181793
Colombia,DEC2014,December 2014,2014,12,December,Natural gas,1088.414,10,13365.401,,0.1829932768825502
Colombia,DEC2014,December 2014,2014,12,December,Combustible renewables,112.405,11,1264.093,,0.0188984699645383
Colombia,DEC2014,December 2014,2014,12,December,Net electricity production,5947.836,14,69027.299,,1.0
Colombia,DEC2014,December 2014,2014,12,December,Total imports,0.039,15,47.0,,6.55700661551529e-06
Colombia,DEC2014,December 2014,2014,12,December,Total exports,136.741,16,849.0,,0.0229900420926199
Colombia,DEC2014,December 2014,2014,12,December,Electricity supplied,5811.134,17,68225.299,,0.9770165149139955
Colombia,DEC2014,December 2014,2014,12,December,Distribution losses,504.195,19,5850.0,,0.0847694859105059
Colombia,DEC2014,December 2014,2014,12,December,Final consumption,5306.939,20,62375.299,,0.8922470290034897
Colombia,DEC2014,December 2014,2014,12,December,Electricity trade,136.702,21,802.0,,0.0229834850860043
Colombia,DEC2014,December 2014,2014,12,December,Renewables,4298.913,22,48591.614,,0.7227692559108891
Colombia,DEC2014,December 2014,2014,12,December,Non-renewables,1648.921,23,20435.682,,0.2772304078323612
Colombia,DEC2014,December 2014,2014,12,December,Others,160.654,24,1918.191,,0.0270104959181793
